id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,,,,
6DCZcSspjsKoFjzjrWoCd,God's Plan,Drake,0.754,0.449,7.000,-9.211,1.000,0.109,0.033,8.29E-05,0.552,0.357,77.169,198973.000,4.000,,,,
3ee8Jmje8o58CHK66QrVC,SAD!,XXXTENTACION,0.740,0.613,8.000,-4.880,1.000,0.145,0.258,0.00372,0.123,0.473,75.023,166606.000,4.000,,,,
0e7ipj03S05BNilyu5bRz,rockstar (feat. 21 Savage),Post Malone,0.587,0.535,5.000,-6.090,0.000,0.090,0.117,6.56E-05,0.131,0.140,159.847,218147.000,4.000,,,,0
3swc6WTsr7rl9DqQKQA55,Psycho (feat. Ty Dolla $ign),Post Malone,0.739,0.559,8.000,-8.011,1.000,0.117,0.580,0,0.112,0.439,140.124,221440.000,4.000,,,,0.1
2G7V7zsVDxg1yRsu7Ew9R,In My Feelings,Drake,0.835,0.626,1.000,-5.833,1.000,0.125,0.059,6.00E-05,0.396,0.350,91.030,217925.000,4.000,,,,0.2
7dt6x5M1jzdTEt8oCbisT,Better Now,Post Malone,0.680,0.563,10.000,-5.843,1.000,0.045,0.354,0,0.136,0.374,145.028,231267.000,4.000,,,,0.3
58q2HKrzhC3ozto2nDdN4,I Like It,Cardi B,0.816,0.726,5.000,-3.998,0.000,0.129,0.099,0,0.372,0.650,136.048,253390.000,4.000,,,,0.4
7ef4DlsgrMEH11cDZd32M,One Kiss (with Dua Lipa),Calvin Harris,0.791,0.862,9.000,-3.240,0.000,0.110,0.037,2.19E-05,0.081,0.592,123.994,214847.000,4.000,,,,0.5
76cy1WJvNGJTj78UqeA5z,IDGAF,Dua Lipa,0.836,0.544,7.000,-5.975,1.000,0.094,0.040,0,0.082,0.510,97.028,217947.000,4.000,,,,0.6
08bNPGLD8AhKpnnERrAc6,FRIENDS,Marshmello,0.626,0.880,9.000,-2.384,0.000,0.050,0.205,0,0.128,0.534,95.079,202621.000,4.000,,,,0.7
1rfofaqEpACxVEHIZBJe6,Havana,Camila Cabello,0.765,0.523,2.000,-4.333,1.000,0.030,0.184,3.56E-05,0.132,0.394,104.988,217307.000,4.000,,,,0.8
0s3nnoMeVWz3989MkNQiR,Lucid Dreams,Juice WRLD,0.511,0.566,6.000,-7.230,0.000,0.200,0.349,0,0.340,0.218,83.903,239836.000,4.000,,,,0.9
3CA9pLiwRIGtUBiMjbZmR,Nice For What,Drake,0.586,0.909,8.000,-6.474,1.000,0.071,0.089,0.000109,0.119,0.757,93.394,210747.000,4.000,,,,1
7fa9MBXhVfQ8P8Df9OEbD,Girls Like You (feat. Cardi B),Maroon 5,0.851,0.541,0.000,-6.825,1.000,0.051,0.568,0,0.130,0.448,124.959,235545.000,4.000,,,,
09IStsImFySgyp0pIQdqA,The Middle,Zedd,0.753,0.657,7.000,-3.061,1.000,0.045,0.171,0,0.112,0.437,107.010,184732.000,4.000,,,,
3GCdLUSnKSMJhs4Tj6CV3,All The Stars (with SZA),Kendrick Lamar,0.698,0.633,8.000,-4.946,1.000,0.060,0.061,0.000194,0.093,0.552,96.924,232187.000,4.000,,,,
2qT1uLXPVPzGgFOx4jtEu,no tears left to cry,Ariana Grande,0.699,0.713,9.000,-5.507,0.000,0.059,0.040,3.11E-06,0.294,0.354,121.993,205920.000,4.000,,,,
39N9RPD9MRb5WmoLzNzPe,X,Nicky Jam,0.595,0.773,9.000,-4.736,0.000,0.055,0.036,0.00108,0.334,0.711,180.073,173628.000,4.000,,,,
0JP9xo3adEtGSdUEISisz,Moonlight,XXXTENTACION,0.921,0.537,9.000,-5.723,0.000,0.080,0.556,0.00404,0.102,0.711,128.009,135090.000,4.000,,,,
4qKcDkK6siZ7Jp1Jb4m0a,Look Alive (feat. Drake),BlocBoy JB,0.922,0.581,10.000,-7.495,1.000,0.270,0.001,5.86E-05,0.105,0.595,140.022,181263.000,4.000,,,,
5CLGzJsGqhCEECcpnFQA8,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,0.653,0.809,0.000,-4.057,1.000,0.047,0.194,0,0.165,0.550,92.213,210773.000,4.000,,,,
3V8UKqhEK5zBkBb6d6ub8,Te Bot? - Remix,Nio Garcia,0.903,0.675,11.000,-3.445,0.000,0.214,0.542,1.28E-05,0.060,0.442,96.507,417920.000,4.000,,,,
7uzmGiiJyRfuViKKK3lVm,Mine,Bazzi,0.710,0.789,4.000,-3.874,1.000,0.072,0.016,2.77E-06,0.451,0.717,142.929,131064.000,4.000,,,,
2iUXsYOEPhVqEBwsqP70r,Youngblood,5 Seconds of Summer,0.596,0.854,7.000,-5.114,0.000,0.463,0.017,0,0.124,0.152,120.274,203418.000,4.000,,,,
2xJCMIJfcNYDc5iR0sAm2,New Rules,Dua Lipa,0.762,0.700,9.000,-6.021,0.000,0.069,0.003,1.56E-05,0.153,0.608,116.073,209320.000,4.000,,,,
7qiZfU4dY1lWllzX7mPBI,Shape of You,Ed Sheeran,0.825,0.652,1.000,-3.183,0.000,0.080,0.581,0,0.093,0.931,95.977,233713.000,4.000,,,,
45Egmo7icyopuzJN0oMEd,Love Lies (with Normani),Khalid,0.708,0.648,6.000,-5.626,1.000,0.045,0.096,0,0.134,0.338,143.955,201707.000,4.000,,,,
4e4fqjx0Izh4svvTef1z7,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.642,0.772,10.000,-6.610,1.000,0.085,0.048,0,0.065,0.589,153.995,164205.000,4.000,,,,
7m9OqQk4RVRkw9JJdeAw9,Jocelyn Flores,XXXTENTACION,0.872,0.391,0.000,-9.144,0.000,0.242,0.469,4.13E-06,0.297,0.437,134.021,119133.000,4.000,,,,
0tgVpDi06FyKpA1z0VMD4,Perfect,Ed Sheeran,0.599,0.448,8.000,-6.312,1.000,0.023,0.163,0,0.106,0.168,95.050,263400.000,3.000,,,,
5IaHrVsrferBYDm0bDyAB,Taste (feat. Offset),Tyga,0.884,0.559,0.000,-7.442,1.000,0.120,0.024,0,0.101,0.342,97.994,232959.000,4.000,,,,
6kPJZM97LwdG9QIsT7khp,Solo (feat. Demi Lovato),Clean Bandit,0.737,0.636,11.000,-4.546,0.000,0.044,0.044,6.66E-05,0.350,0.565,105.005,222653.000,4.000,,,,
75ZvA4QfFiZvzhj2xkaWA,I Fall Apart,Post Malone,0.556,0.538,8.000,-5.408,0.000,0.038,0.069,0,0.196,0.291,143.950,223347.000,4.000,,,,
63SevszngYpZOwf63o61K,Nevermind,Dennis Lloyd,0.592,0.691,3.000,-8.354,1.000,0.196,0.156,9.78E-06,0.418,0.080,99.976,156600.000,4.000,,,,
2hl6q70unbviGo3g1R7uF,?chame La Culpa,Luis Fonsi,0.726,0.889,0.000,-3.655,1.000,0.043,0.033,0,0.093,0.649,96.024,173720.000,4.000,,,,
0d2iYfpKoM0QCKvcLCkBa,Eastside (with Halsey & Khalid),benny blanco,0.560,0.680,6.000,-7.648,0.000,0.321,0.555,0,0.116,0.319,89.391,173800.000,4.000,,,,
4eWQlBRaTjPPUlzacqEeo,Never Be the Same,Camila Cabello,0.637,0.713,0.000,-4.333,1.000,0.075,0.181,0.000637,0.137,0.243,129.923,226973.000,4.000,,,,
0tBbt8CrmxbjRP0pueQky,Wolves,Selena Gomez,0.720,0.807,11.000,-4.590,0.000,0.043,0.129,0,0.183,0.305,124.946,197993.000,4.000,,,,
7AFASza1mXqntmGtbxXpr,changes,XXXTENTACION,0.669,0.308,11.000,-10.068,1.000,0.029,0.883,0,0.098,0.520,64.934,121887.000,4.000,,,,
0E9ZjEAyAwOXZ7wJC0PD3,In My Mind,Dynoro,0.694,0.770,6.000,-5.335,1.000,0.149,0.176,1.10E-05,0.118,0.163,125.905,184560.000,4.000,,,,
1cS0TgbR263ey9jn0MwD2,River (feat. Ed Sheeran),Eminem,0.748,0.749,8.000,-5.916,0.000,0.516,0.142,0,0.071,0.659,90.090,221013.000,4.000,,,,
6KuqAtoeVzxAYOaMveLNp,Dura,Daddy Yankee,0.791,0.848,1.000,-3.456,1.000,0.051,0.183,0,0.409,0.828,95.000,200480.000,4.000,,,,
2xLMifQCjDGFmkHkpNLD9,SICKO MODE,Travis Scott,0.834,0.730,8.000,-3.714,1.000,0.222,0.005,0,0.124,0.446,155.008,312820.000,4.000,,,,
1zB4vmk8tFRmM9UULNzbL,Thunder,Imagine Dragons,0.605,0.822,0.000,-4.833,1.000,0.044,0.007,0.134,0.147,0.288,167.997,187147.000,4.000,,,,
6jA8JUuPCGYjFcgw0AoM5,Me Niego,Reik,0.777,0.779,0.000,-4.449,0.000,0.097,0.054,0,0.636,0.768,94.023,221653.000,4.000,,,,
4kWO6O1BUXcZmaxitpVUw,Jackie Chan,Ti?sto,0.747,0.834,3.000,-2.867,0.000,0.045,0.374,0,0.059,0.687,128.005,215760.000,4.000,,,,
3Vo4wInECJQuz9BIBMOu8,Finesse (Remix) [feat. Cardi B],Bruno Mars,0.704,0.859,5.000,-4.877,0.000,0.100,0.019,0,0.022,0.926,105.115,217289.000,4.000,,,,
4hQ6UGyWQIGJmHSo0J88J,Back To You - From 13 Reasons Why ? Season 2 Soundtrack,Selena Gomez,0.601,0.724,6.000,-4.856,1.000,0.049,0.095,1.68E-06,0.120,0.508,102.061,207905.000,4.000,,,,
52okn5MNA47tk87PeZJLE,Let You Down,NF,0.656,0.721,5.000,-5.665,0.000,0.122,0.298,0,0.173,0.468,148.066,212120.000,4.000,,,,
1gm616Plq4ScqNi7TVkZ5,Call Out My Name,The Weeknd,0.489,0.598,1.000,-4.929,1.000,0.036,0.218,0,0.350,0.172,134.045,228373.000,3.000,,,,
7sO5G9EABYOXQKNPNiE9N,Ric Flair Drip (& Metro Boomin),Offset,0.880,0.428,9.000,-8.280,1.000,0.206,0.149,5.07E-05,0.114,0.333,100.007,172800.000,4.000,,,,
2dpaYNEQHiRxtZbfNsse9,Happier,Marshmello,0.687,0.792,5.000,-2.749,1.000,0.045,0.191,0,0.167,0.671,100.015,214290.000,4.000,,,,
1mXVgsBdtIVeCLJnSnmtd,Too Good At Goodbyes,Sam Smith,0.698,0.375,5.000,-8.279,1.000,0.049,0.652,0,0.173,0.534,91.920,201000.000,4.000,,,,
10Igtw8bSDyyFs7KIsKng,Freaky Friday (feat. Chris Brown),Lil Dicky,0.755,0.599,8.000,-5.042,1.000,0.224,0.147,0,0.109,0.755,133.123,216632.000,4.000,,,,
0pqnGHJpmpxLKifKRmU6W,Believer,Imagine Dragons,0.776,0.780,10.000,-4.374,0.000,0.128,0.062,0,0.081,0.666,124.949,204347.000,4.000,,,,
2E124GmJRnBJuXbTb4cPU,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,0.931,0.387,1.000,-9.127,1.000,0.412,0.088,0,0.136,0.376,125.978,179405.000,4.000,,,,
3KLygy1YWhmrQx0GRs7IO,Rise,Jonas Blue,0.687,0.785,1.000,-4.650,1.000,0.033,0.327,0,0.203,0.655,106.046,194408.000,4.000,,,,
7K7MUBCnzgBAvMVW2RTWN,Body (feat. brando),Loud Luxury,0.752,0.764,1.000,-4.399,1.000,0.038,0.048,9.44E-05,0.054,0.582,121.958,163216.000,4.000,,,,
7GX5flRQZVHRAGd6B4TmD,XO TOUR Llif3,Lil Uzi Vert,0.732,0.750,11.000,-6.366,0.000,0.231,0.003,0,0.109,0.401,155.096,182707.000,4.000,,,,
2ijef6ni2amuunRoKTlgw,Sin Pijama,Becky G,0.791,0.745,11.000,-3.695,0.000,0.046,0.354,2.93E-05,0.104,0.820,94.014,188560.000,4.000,,,,
2BgEsaKNfHUdlh97KmvFy,2002,Anne-Marie,0.697,0.683,1.000,-2.881,0.000,0.117,0.037,0,0.137,0.603,96.133,186987.000,4.000,,,,
0TlLq3lA83rQOYtrqBqSc,Nonstop,Drake,0.912,0.412,7.000,-8.074,1.000,0.124,0.016,0.013,0.104,0.422,154.983,238614.000,4.000,,,,
7AQim7LbvFVZJE3O8TYgf,Fuck Love (feat. Trippie Redd),XXXTENTACION,0.797,0.533,0.000,-9.740,0.000,0.041,0.017,0.000152,0.103,0.329,131.036,146520.000,4.000,,,,
2QZ7WLBE8h2y1Y5Fb8RYb,In My Blood,Shawn Mendes,0.622,0.712,5.000,-7.321,1.000,0.066,0.057,0,0.130,0.487,140.025,211360.000,4.000,,,,
7vGuf3Y35N4wmASOKLUVV,Silence,Marshmello,0.520,0.761,4.000,-3.093,1.000,0.085,0.256,4.96E-06,0.170,0.286,141.971,180823.000,4.000,,,,
5OCJzvD7sykQEKHH7qAC3,God is a woman,Ariana Grande,0.602,0.658,1.000,-5.934,1.000,0.056,0.023,6.00E-05,0.237,0.268,145.031,197547.000,4.000,,,,
1j6xOGusnyXq3l6IryKF3,D?jala que vuelva (feat. Manuel Turizo),Piso 21,0.681,0.788,1.000,-4.323,1.000,0.079,0.048,0,0.075,0.839,170.019,220117.000,4.000,,,,
66BjcDhhwWCcQIBxHMpKX,Flames,David Guetta,0.631,0.649,5.000,-5.892,0.000,0.039,0.082,3.80E-06,0.093,0.421,93.950,194680.000,4.000,,,,
0WdGQhoAP2LBsqr5Jhit2,What Lovers Do,Maroon 5,0.799,0.597,5.000,-5.131,0.000,0.061,0.079,5.66E-06,0.100,0.419,110.001,199849.000,4.000,,,,
4w8niZpiMy6qz1mntFA5u,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,0.841,0.798,1.000,-4.206,0.000,0.229,0.153,3.33E-06,0.062,0.591,95.948,212500.000,4.000,,,,
5Gu0PDLN4YJeW75PpBSg9,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,0.663,0.708,8.000,-4.154,1.000,0.047,0.034,0,0.084,0.742,103.073,174800.000,4.000,,,,
6QgjcU0zLnzq5OrUoSZ3O,Feel It Still,Portugal. The Man,0.801,0.795,1.000,-5.115,0.000,0.050,0.042,0.000113,0.072,0.754,79.028,163253.000,4.000,,,,
77UjLW8j5UAGAGVGhR5oU,Pray For Me (with Kendrick Lamar),The Weeknd,0.735,0.677,2.000,-4.979,1.000,0.093,0.076,2.17E-05,0.111,0.188,100.584,211440.000,4.000,,,,
6n4U3TlzUGhdSFbUUhTvL,Walk It Talk It,Migos,0.909,0.628,2.000,-5.456,1.000,0.201,0.074,0,0.108,0.406,145.905,276147.000,4.000,,,,
5k38wzpLb15YgncyWdTZE,Him & I (with Halsey),G-Eazy,0.589,0.731,2.000,-6.343,1.000,0.087,0.053,0,0.308,0.191,87.908,268867.000,4.000,,,,
32lItqlMi4LBhb4k0BaSa,Candy Paint,Post Malone,0.670,0.654,4.000,-5.944,1.000,0.153,0.627,1.02E-06,0.071,0.438,180.024,227533.000,4.000,,,,
3a1lNhkSLSkpJE4MSHpDu,Congratulations,Post Malone,0.630,0.804,6.000,-4.183,1.000,0.036,0.215,0,0.253,0.492,123.146,220293.000,4.000,,,,
4QtiVmuA88tPQiCOHZuQ5,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,0.792,0.895,1.000,-3.112,0.000,0.059,0.165,0,0.050,0.794,94.968,201526.000,4.000,,,,
6Za3190Sbw39BBC77WSS1,Criminal,Natti Natasha,0.814,0.813,2.000,-3.023,0.000,0.056,0.030,9.33E-05,0.255,0.839,79.997,232550.000,4.000,,,,
1ZAyjvIk9YiD76yYy0TEG,Plug Walk,Rich The Kid,0.876,0.519,11.000,-6.531,1.000,0.143,0.202,0,0.108,0.158,94.981,175230.000,4.000,,,,
0u2P5u6lvoDfwTYjAADbn,lovely (with Khalid),Billie Eilish,0.351,0.296,4.000,-10.109,0.000,0.033,0.934,0,0.095,0.120,115.284,200186.000,4.000,,,,
2UVbBKQOdFAekPTRsnkzc,Stir Fry,Migos,0.815,0.816,2.000,-5.474,1.000,0.269,0.003,0,0.159,0.498,181.967,190288.000,4.000,,,,
7KXjTSCq5nL1LoYtL7XAw,HUMBLE.,Kendrick Lamar,0.908,0.621,1.000,-6.638,0.000,0.102,0.000,5.39E-05,0.096,0.421,150.011,177000.000,4.000,,,,
48zFZh27QU5qsrBjn4C2F,Vaina Loca,Ozuna,0.754,0.805,6.000,-4.249,1.000,0.075,0.315,0,0.203,0.555,93.983,176133.000,4.000,,,,
